Category,Store,Value
Raisin Bran,Costco,0.58
Raisin Bran,Target,1.00
Raisin Bran,QFC,0.97
Raisin Bran,Whole Foods,1.45
Raisin Bran,Fred Mayer,0.67		
Cheerios,Costco,0.62
Cheerios,Target,0.88
Cheerios,QFC,1.12
Cheerios,Whole Foods,1.36
Cheerios,Fred Mayer,0.72		
Fruit Loops,Costco,0.66
Fruit Loops,Target,0.95
Fruit Loops,QFC,2.33
Fruit Loops,Whole Foods,1.30
Fruit Loops,Fred Mayer,0.68	
Frosted Flakes,Costco,0.55
Frosted Flakes,Target,0.83
Frosted Flakes,QFC,0.75
Frosted Flakes,Whole Foods,1.37
Frosted Flakes,Fred Mayer,0.72
