Category,Store,Value
Raisin Bran,Costco,0.61
Raisin Bran,Target,1.00
Raisin Bran,QFC,0.97
Raisin Bran,Whole Foods,1.40
Raisin Bran,Fred Mayer,0.92			
Cheerios,Costco,0.65
Cheerios,Target,0.88
Cheerios,QFC,1.11
Cheerios,Whole Foods,1.30
Cheerios,Fred Mayer,0.97		
Fruit Loops,Costco,0.70
Fruit Loops,Target,0.95
Fruit Loops,QFC,2.33
Fruit Loops,Whole Foods,1.25
Fruit Loops,Fred Mayer,0.93		
Frosted Flakes,Costco,0.59
Frosted Flakes,Target,0.83
Frosted Flakes,QFC,0.75
Frosted Flakes,Whole Foods,1.32
Frosted Flakes,Fred Mayer,0.97
